Country,World Bank Income Group,Region,Koppen Climate Classification of Capital City,Usage,Corruption & Governance Index,Health Spend Index,Education Index,Infrastructure Index,GDP per head,Climate Index,META-DATA E.coli per cent resistance 3rd gen ceph*,META-DATA E.coli per cent resistance FQs*,Average Ecoli Resistance to 3GCeph & FQ unstandardized,Average All Resistance Unstandardized,Logit of META-DATA E.coli per cent resistance 3rd gen ceph*,Logit of META-DATA E.coli per cent resistance FQs*,Logit of Average Ecoli Resistance unstandardized,Logit of Average All Resistance Unstandardized,Missing Usage,Missing: Data Not in ECDC database,Missing META-DATA E.coli 3rd gen ceph*,Missing META-DATA E.coli FQs*,
Netherlands,High income,Europe & Central Asia,"Mild temperate, fully humid",4.1,1.73,1.45,0.66,0.95,1.13,-0.77,5.7,14.3,10.00,6.36,-2.81,-1.79,-2.20,-2.69,0,0,0,0,
New Zealand,High income,East Asia & Pacific,"Mild temperate, fully humid",10.9,1.92,1.42,0.70,0.88,0.57,0.08,3.0,6.5,4.74,7.43,-3.49,-2.66,-3.00,-2.52,0,1,0,0,
Nicaragua,Lower middle income,Latin America & Caribbean,Tropical savannah with dry winter,,-0.81,0.47,-0.77,-0.67,-0.96,1.55,48.1,42.9,45.50,39.70,-0.08,-0.29,-0.18,-0.42,1,1,0,0,
Nigeria,Lower middle income,Sub-Saharan Africa,Tropical savannah with dry winter,,-1.37,-2.70,-1.89,-1.56,-0.92,0.79,6.7,36.5,21.63,35.16,-2.63,-0.55,-1.29,-0.61,1,1,0,0,
Norway,High income,Europe & Central Asia,"Mild temperate, fully humid",5.9,1.83,1.16,0.73,0.89,2.00,-0.83,3.6,9.0,6.30,5.00,-3.29,-2.31,-2.70,-2.94,0,0,0,0,
Pakistan,Lower middle income,South Asia,Steppe (semi-arid),7.1,-1.55,-1.95,-2.48,-0.71,-0.96,-0.21,36.2,35.3,35.75,47.93,-0.57,-0.61,-0.59,-0.08,0,1,0,0,
Panama,Upper middle income,Latin America & Caribbean,Tropical monsoon,,-0.24,0.60,0.34,-0.07,-0.15,2.10,9.2,23.3,16.26,15.02,-2.28,-1.19,-1.64,-1.73,1,1,0,0,
Papua New Guinea,Lower middle income,East Asia & Pacific,Tropical rain forest,,-0.99,-0.15,-1.47,-3.12,-1.06,2.26,24.1,13.3,18.70,36.20,-1.15,-1.87,-1.47,-0.57,1,1,0,0,
Paraguay,Upper middle income,Latin America & Caribbean,"Mild temperate, fully humid",,-0.74,0.29,0.18,0.09,-0.77,0.54,1.4,22.1,11.75,22.76,-4.25,-1.26,-2.02,-1.22,1,1,0,0,
Peru,Upper middle income,Latin America & Caribbean,Desert (arid),3.4,-0.55,-0.24,0.16,-0.13,-0.61,0.74,44.1,62.8,53.47,45.80,-0.24,0.53,0.14,-0.17,0,1,0,0,
